Ps: 112101 ScoreTest: 0.519868405338, k: 2, gamma: 0.03
Ps	Session	Feedback	Length	Ideal	Resp	SVM_prediction	Correct
112101	5	1	28	1	1	-1.0	No
112101	5	1	37	1	1	-1.0	No
112101	5	1	52	1	1	1.0	Yes
112101	5	1	4	1	-1	-1.0	Yes
112101	5	1	23	1	1	-1.0	No
112101	5	1	1	1	-1	-1.0	Yes
112101	5	1	50	1	1	1.0	Yes
112101	5	1	18	1	1	-1.0	No
112101	5	1	15	1	-1	-1.0	Yes
112101	5	1	17	1	-1	-1.0	Yes
112101	5	1	59	1	1	-1.0	No
112101	5	1	12	1	-1	-1.0	Yes
112101	5	1	33	1	1	-1.0	No
112101	5	1	45	1	1	-1.0	No
112101	5	1	35	1	-1	-1.0	Yes
112101	5	1	16	1	-1	-1.0	Yes
112101	5	1	2	1	-1	-1.0	Yes
112101	5	1	19	1	1	-1.0	No
112101	5	1	27	1	1	-1.0	No
112101	5	1	34	1	1	-1.0	No
112101	5	1	20	1	1	-1.0	No
112101	5	1	36	1	1	-1.0	No
112101	5	1	48	1	1	-1.0	No
112101	5	1	29	1	1	-1.0	No
112101	5	1	51	1	1	1.0	Yes
112101	5	1	58	1	1	1.0	Yes
112101	5	1	9	1	-1	-1.0	Yes
112101	5	1	54	1	1	1.0	Yes
112101	5	1	42	1	1	-1.0	No
112101	5	1	53	1	1	1.0	Yes
112101	5	1	6	1	-1	-1.0	Yes
112101	5	1	30	1	1	-1.0	No
112101	5	1	40	1	1	-1.0	No
112101	5	1	38	1	1	-1.0	No
112101	5	1	22	1	-1	-1.0	Yes
112101	5	1	3	1	-1	-1.0	Yes
112101	5	1	41	1	1	-1.0	No
112101	5	1	32	1	1	-1.0	No
112101	5	1	31	1	1	-1.0	No
112101	5	1	21	1	-1	-1.0	Yes
112101	5	1	43	1	1	-1.0	No
112101	5	1	55	1	1	1.0	Yes
112101	5	1	25	1	-1	-1.0	Yes
112101	5	1	49	1	1	1.0	Yes
112102	1	1	12	1	-1	-1.0	Yes
112102	1	1	9	1	-1	-1.0	Yes
112102	1	1	27	1	-1	-1.0	Yes
112102	1	1	48	1	1	1.0	Yes
112102	1	1	26	1	1	-1.0	No
112102	1	1	13	1	-1	-1.0	Yes
112102	1	1	46	1	1	1.0	Yes
112102	1	1	19	1	-1	-1.0	Yes
112102	1	1	31	1	1	1.0	Yes
112102	1	1	54	1	1	1.0	Yes
112102	1	1	10	1	-1	-1.0	Yes
112102	1	1	24	1	-1	-1.0	Yes
112102	1	1	44	1	1	1.0	Yes
112102	1	1	50	1	1	1.0	Yes
112102	1	1	60	1	1	1.0	Yes
112102	1	1	41	1	1	1.0	Yes
112102	1	1	57	1	1	1.0	Yes
112102	1	1	47	1	1	1.0	Yes
112102	1	1	59	1	-1	1.0	No
112102	1	1	20	1	-1	-1.0	Yes
112102	1	1	14	1	-1	-1.0	Yes
112102	1	1	22	1	-1	-1.0	Yes
112102	1	1	1	1	-1	-1.0	Yes
112102	1	1	37	1	1	1.0	Yes
112102	1	1	6	1	-1	-1.0	Yes
112102	1	1	32	1	1	1.0	Yes
112102	1	1	52	1	1	1.0	Yes
112102	1	1	34	1	1	1.0	Yes
112102	1	1	49	1	1	1.0	Yes
112102	1	1	18	1	-1	-1.0	Yes
112102	1	1	51	1	1	1.0	Yes
112102	1	1	55	1	1	1.0	Yes
112102	1	1	23	1	-1	-1.0	Yes
112102	1	1	35	1	1	1.0	Yes
112102	1	1	40	1	1	1.0	Yes
112102	1	1	30	1	-1	-1.0	Yes
112102	1	1	11	1	-1	-1.0	Yes
112102	1	1	7	1	-1	-1.0	Yes
112102	1	1	21	1	-1	-1.0	Yes
112102	1	1	58	1	1	1.0	Yes
112102	1	1	56	1	1	1.0	Yes
112102	1	1	5	1	-1	-1.0	Yes
112102	1	1	43	1	1	1.0	Yes
112102	1	1	33	1	1	1.0	Yes
112102	1	1	38	1	1	1.0	Yes
112102	1	1	29	1	1	-1.0	No
112102	1	1	53	1	1	1.0	Yes
112102	1	1	25	1	1	-1.0	No
112102	1	1	16	1	-1	-1.0	Yes
112102	1	1	17	1	-1	-1.0	Yes
112102	1	1	4	1	-1	-1.0	Yes
112102	1	1	36	1	1	1.0	Yes
112102	1	1	3	1	-1	-1.0	Yes
112102	1	1	45	1	1	1.0	Yes
112102	1	1	15	1	-1	-1.0	Yes
112102	1	1	8	1	-1	-1.0	Yes
112102	1	1	42	1	1	1.0	Yes
112102	1	1	2	1	-1	-1.0	Yes
112102	1	1	39	1	1	1.0	Yes
112102	1	1	28	1	-1	-1.0	Yes
112102	5	1	23	1	-1	-1.0	Yes
112102	5	1	8	1	-1	-1.0	Yes
112102	5	1	40	1	1	1.0	Yes
112102	5	1	56	1	1	1.0	Yes
112102	5	1	12	1	-1	-1.0	Yes
112102	5	1	27	1	1	-1.0	No
112102	5	1	18	1	-1	-1.0	Yes
112102	5	1	33	1	1	1.0	Yes
112102	5	1	44	1	1	1.0	Yes
112102	5	1	47	1	1	1.0	Yes
112102	5	1	11	1	-1	-1.0	Yes
112102	5	1	53	1	1	1.0	Yes
112102	5	1	39	1	1	1.0	Yes
112102	5	1	25	1	-1	-1.0	Yes
112102	5	1	5	1	-1	-1.0	Yes
112102	5	1	34	1	1	1.0	Yes
112102	5	1	21	1	-1	-1.0	Yes
112102	5	1	45	1	1	1.0	Yes
112102	5	1	32	1	1	1.0	Yes
112102	5	1	50	1	1	1.0	Yes
112102	5	1	10	1	-1	-1.0	Yes
112102	5	1	58	1	1	1.0	Yes
112102	5	1	43	1	1	1.0	Yes
112102	5	1	59	1	1	1.0	Yes
112102	5	1	3	1	-1	-1.0	Yes
112102	5	1	52	1	1	1.0	Yes
112102	5	1	46	1	1	1.0	Yes
112102	5	1	55	1	1	1.0	Yes
112102	5	1	19	1	-1	-1.0	Yes
112102	5	1	29	1	-1	-1.0	Yes
112102	5	1	49	1	1	1.0	Yes
112102	5	1	41	1	-1	1.0	No
112102	5	1	13	1	1	-1.0	No
112102	5	1	38	1	1	1.0	Yes
112102	5	1	48	1	1	1.0	Yes
112102	5	1	4	1	-1	-1.0	Yes
112102	5	1	57	1	1	1.0	Yes
112102	5	1	30	1	-1	-1.0	Yes
112102	5	1	9	1	-1	-1.0	Yes
112102	5	1	26	1	-1	-1.0	Yes
112102	5	1	31	1	1	1.0	Yes
112102	5	1	2	1	-1	-1.0	Yes
112102	5	1	28	1	1	-1.0	No
112102	5	1	22	1	-1	-1.0	Yes
112102	5	1	35	1	1	1.0	Yes
112102	5	1	7	1	-1	-1.0	Yes
112102	5	1	14	1	-1	-1.0	Yes
112102	5	1	24	1	1	-1.0	No
112102	5	1	42	1	1	1.0	Yes
112102	5	1	54	1	1	1.0	Yes
112102	5	1	36	1	-1	1.0	No
112102	5	1	1	1	-1	-1.0	Yes
112102	5	1	20	1	-1	-1.0	Yes
112102	5	1	60	1	1	1.0	Yes
112102	5	1	51	1	1	1.0	Yes
112102	5	1	37	1	-1	1.0	No
112102	5	1	17	1	-1	-1.0	Yes
112102	5	1	6	1	-1	-1.0	Yes
112102	5	1	15	1	-1	-1.0	Yes
112102	5	1	16	1	-1	-1.0	Yes
112103	1	1	6	1	-1	-1.0	Yes
112103	1	1	24	1	-1	-1.0	Yes
112103	1	1	26	1	-1	-1.0	Yes
112103	1	1	23	1	-1	-1.0	Yes
112103	1	1	2	1	-1	-1.0	Yes
112103	1	1	55	1	1	1.0	Yes
112103	1	1	3	1	-1	-1.0	Yes
112103	1	1	39	1	1	1.0	Yes
112103	1	1	40	1	1	1.0	Yes
112103	1	1	38	1	1	1.0	Yes
112103	1	1	25	1	-1	-1.0	Yes
112103	1	1	31	1	1	1.0	Yes
112103	1	1	44	1	1	1.0	Yes
112103	1	1	47	1	1	1.0	Yes
112103	1	1	10	1	-1	-1.0	Yes
112103	1	1	21	1	-1	-1.0	Yes
112103	1	1	58	1	1	1.0	Yes
112103	1	1	7	1	-1	-1.0	Yes
112103	1	1	28	1	-1	-1.0	Yes
112103	1	1	19	1	-1	-1.0	Yes
112103	1	1	48	1	1	1.0	Yes
112103	1	1	17	1	-1	-1.0	Yes
112103	1	1	13	1	-1	-1.0	Yes
112103	1	1	34	1	1	1.0	Yes
112103	1	1	33	1	-1	1.0	No
112103	1	1	60	1	1	1.0	Yes
112103	1	1	5	1	-1	-1.0	Yes
112103	1	1	51	1	1	1.0	Yes
112103	1	1	56	1	1	1.0	Yes
112103	1	1	52	1	1	1.0	Yes
112103	1	1	4	1	-1	-1.0	Yes
112103	1	1	18	1	-1	-1.0	Yes
112103	1	1	37	1	-1	1.0	No
112103	1	1	43	1	1	1.0	Yes
112103	1	1	1	1	-1	-1.0	Yes
112103	1	1	11	1	-1	-1.0	Yes
112103	1	1	59	1	1	1.0	Yes
112103	1	1	57	1	1	1.0	Yes
112103	1	1	41	1	1	1.0	Yes
112103	1	1	36	1	-1	1.0	No
112103	1	1	35	1	1	1.0	Yes
112103	1	1	15	1	-1	-1.0	Yes
112103	1	1	20	1	-1	-1.0	Yes
112103	1	1	12	1	-1	-1.0	Yes
112103	1	1	49	1	1	1.0	Yes
112103	1	1	22	1	1	-1.0	No
112103	1	1	29	1	-1	-1.0	Yes
112103	1	1	14	1	-1	-1.0	Yes
112103	1	1	32	1	1	1.0	Yes
112103	1	1	16	1	-1	-1.0	Yes
112103	1	1	53	1	1	1.0	Yes
112103	1	1	8	1	-1	-1.0	Yes
112103	1	1	54	1	1	1.0	Yes
112103	1	1	9	1	-1	-1.0	Yes
112103	1	1	30	1	-1	-1.0	Yes
112103	1	1	50	1	-1	1.0	No
112103	1	1	27	1	-1	-1.0	Yes
112103	1	1	46	1	1	1.0	Yes
112103	1	1	45	1	-1	1.0	No
112103	1	1	42	1	1	1.0	Yes
112103	5	1	60	1	1	1.0	Yes
112103	5	1	38	1	1	1.0	Yes
112103	5	1	33	1	1	1.0	Yes
112103	5	1	2	1	-1	-1.0	Yes
112103	5	1	7	1	-1	-1.0	Yes
112103	5	1	24	1	-1	-1.0	Yes
112103	5	1	31	1	-1	-1.0	Yes
112103	5	1	4	1	-1	-1.0	Yes
112103	5	1	17	1	-1	-1.0	Yes
112103	5	1	14	1	-1	-1.0	Yes
112103	5	1	29	1	1	-1.0	No
112103	5	1	50	1	1	1.0	Yes
112103	5	1	36	1	1	1.0	Yes
112103	5	1	23	1	1	-1.0	No
112103	5	1	34	1	1	1.0	Yes
112103	5	1	18	1	-1	-1.0	Yes
112103	5	1	52	1	1	1.0	Yes
112103	5	1	8	1	-1	-1.0	Yes
112103	5	1	35	1	1	1.0	Yes
112103	5	1	10	1	-1	-1.0	Yes
112103	5	1	21	1	-1	-1.0	Yes
112103	5	1	39	1	1	1.0	Yes
112103	5	1	32	1	1	1.0	Yes
112103	5	1	9	1	-1	-1.0	Yes
112103	5	1	19	1	1	-1.0	No
112103	5	1	57	1	-1	1.0	No
112103	5	1	22	1	-1	-1.0	Yes
112103	5	1	55	1	1	1.0	Yes
112103	5	1	20	1	-1	-1.0	Yes
112103	5	1	47	1	1	1.0	Yes
112103	5	1	28	1	1	-1.0	No
112103	5	1	3	1	-1	-1.0	Yes
112103	5	1	53	1	1	1.0	Yes
112103	5	1	26	1	-1	-1.0	Yes
112103	5	1	48	1	1	1.0	Yes
112103	5	1	13	1	-1	-1.0	Yes
112103	5	1	12	1	-1	-1.0	Yes
112103	5	1	49	1	1	1.0	Yes
112103	5	1	54	1	1	1.0	Yes
112103	5	1	44	1	1	1.0	Yes
112103	5	1	42	1	1	1.0	Yes
112103	5	1	37	1	1	1.0	Yes
112103	5	1	40	1	1	1.0	Yes
112103	5	1	41	1	1	1.0	Yes
112103	5	1	11	1	-1	-1.0	Yes
112103	5	1	1	1	-1	-1.0	Yes
112103	5	1	30	1	-1	-1.0	Yes
112103	5	1	58	1	1	1.0	Yes
112103	5	1	51	1	1	1.0	Yes
112103	5	1	15	1	-1	-1.0	Yes
112103	5	1	43	1	1	1.0	Yes
112103	5	1	25	1	1	-1.0	No
112103	5	1	6	1	-1	-1.0	Yes
112103	5	1	56	1	1	1.0	Yes
112103	5	1	27	1	1	-1.0	No
112103	5	1	5	1	-1	-1.0	Yes
112103	5	1	46	1	1	1.0	Yes
112103	5	1	16	1	-1	-1.0	Yes
112103	5	1	59	1	1	1.0	Yes
112103	5	1	45	1	1	1.0	Yes
112104	1	1	7	1	-1	-1.0	Yes
112104	1	1	10	1	1	-1.0	No
112104	1	1	26	1	-1	-1.0	Yes
112104	1	1	57	1	1	1.0	Yes
112104	1	1	52	1	-1	1.0	No
112104	1	1	2	1	-1	-1.0	Yes
112104	1	1	56	1	1	1.0	Yes
112104	1	1	54	1	1	1.0	Yes
112104	1	1	23	1	-1	-1.0	Yes
112104	1	1	45	1	1	1.0	Yes
112104	1	1	48	1	1	1.0	Yes
112104	1	1	60	1	1	1.0	Yes
112104	1	1	17	1	-1	-1.0	Yes
112104	1	1	42	1	1	1.0	Yes
112104	1	1	37	1	1	1.0	Yes
112104	1	1	53	1	1	1.0	Yes
112104	1	1	25	1	-1	-1.0	Yes
112104	1	1	14	1	-1	-1.0	Yes
112104	1	1	27	1	-1	-1.0	Yes
112104	1	1	6	1	-1	-1.0	Yes
112104	1	1	28	1	1	-1.0	No
112104	1	1	21	1	1	-1.0	No
112104	1	1	38	1	1	1.0	Yes
112104	1	1	34	1	1	1.0	Yes
112104	1	1	46	1	1	1.0	Yes
112104	1	1	44	1	1	1.0	Yes
112104	1	1	41	1	1	1.0	Yes
112104	1	1	13	1	-1	-1.0	Yes
112104	1	1	55	1	1	1.0	Yes
112104	1	1	8	1	-1	-1.0	Yes
112104	1	1	11	1	-1	-1.0	Yes
112104	1	1	30	1	1	-1.0	No
112104	1	1	40	1	1	1.0	Yes
112104	1	1	15	1	-1	-1.0	Yes
112104	1	1	47	1	-1	1.0	No
112104	1	1	35	1	-1	1.0	No
112104	1	1	32	1	-1	1.0	No
112104	1	1	18	1	1	-1.0	No
112104	1	1	50	1	1	1.0	Yes
112104	1	1	43	1	1	1.0	Yes
112104	1	1	5	1	-1	-1.0	Yes
112104	1	1	3	1	-1	-1.0	Yes
112104	1	1	12	1	-1	-1.0	Yes
112104	1	1	16	1	1	-1.0	No
112104	1	1	9	1	-1	-1.0	Yes
112104	1	1	20	1	1	-1.0	No
112104	1	1	39	1	1	1.0	Yes
112104	1	1	49	1	1	1.0	Yes
112104	1	1	51	1	1	1.0	Yes
112104	1	1	29	1	1	-1.0	No
112104	1	1	58	1	1	1.0	Yes
112104	1	1	4	1	-1	-1.0	Yes
112104	1	1	1	1	-1	-1.0	Yes
112104	1	1	59	1	1	1.0	Yes
112104	1	1	24	1	1	-1.0	No
112104	1	1	31	1	-1	1.0	No
112104	1	1	19	1	1	-1.0	No
112104	1	1	22	1	-1	-1.0	Yes
112104	1	1	36	1	-1	1.0	No
112104	1	1	33	1	1	1.0	Yes
112104	5	1	2	1	-1	-1.0	Yes
112104	5	1	42	1	1	1.0	Yes
112104	5	1	33	1	1	1.0	Yes
112104	5	1	56	1	1	1.0	Yes
112104	5	1	27	1	1	-1.0	No
112104	5	1	53	1	1	1.0	Yes
112104	5	1	35	1	-1	1.0	No
112104	5	1	16	1	-1	-1.0	Yes
112104	5	1	24	1	-1	-1.0	Yes
112104	5	1	26	1	1	-1.0	No
112104	5	1	13	1	-1	-1.0	Yes
112104	5	1	52	1	1	1.0	Yes
112104	5	1	18	1	-1	-1.0	Yes
112104	5	1	7	1	-1	-1.0	Yes
112104	5	1	36	1	1	1.0	Yes
112104	5	1	9	1	-1	-1.0	Yes
112104	5	1	49	1	1	1.0	Yes
112104	5	1	21	1	-1	-1.0	Yes
112104	5	1	60	1	1	1.0	Yes
112104	5	1	31	1	-1	1.0	No
112104	5	1	22	1	1	-1.0	No
112104	5	1	23	1	-1	-1.0	Yes
112104	5	1	20	1	-1	-1.0	Yes
112104	5	1	29	1	1	-1.0	No
112104	5	1	12	1	-1	-1.0	Yes
112104	5	1	47	1	1	1.0	Yes
112104	5	1	37	1	-1	1.0	No
112104	5	1	17	1	-1	-1.0	Yes
112104	5	1	32	1	1	1.0	Yes
112104	5	1	41	1	1	1.0	Yes
112104	5	1	40	1	1	1.0	Yes
112104	5	1	15	1	-1	-1.0	Yes
112104	5	1	5	1	-1	-1.0	Yes
112104	5	1	43	1	-1	1.0	No
112104	5	1	38	1	1	1.0	Yes
112104	5	1	58	1	1	1.0	Yes
112104	5	1	34	1	1	1.0	Yes
112104	5	1	11	1	-1	-1.0	Yes
112104	5	1	51	1	1	1.0	Yes
112104	5	1	6	1	-1	-1.0	Yes
112104	5	1	39	1	1	1.0	Yes
112104	5	1	30	1	1	-1.0	No
112104	5	1	45	1	1	1.0	Yes
112104	5	1	14	1	-1	-1.0	Yes
112104	5	1	59	1	1	1.0	Yes
112104	5	1	8	1	-1	-1.0	Yes
112104	5	1	3	1	1	-1.0	No
112104	5	1	55	1	1	1.0	Yes
112104	5	1	28	1	-1	-1.0	Yes
112104	5	1	1	1	-1	-1.0	Yes
112104	5	1	57	1	1	1.0	Yes
112104	5	1	48	1	1	1.0	Yes
112104	5	1	46	1	1	1.0	Yes
112104	5	1	4	1	1	-1.0	No
112104	5	1	10	1	-1	-1.0	Yes
112104	5	1	50	1	1	1.0	Yes
112104	5	1	44	1	1	1.0	Yes
112104	5	1	25	1	1	-1.0	No
112104	5	1	19	1	1	-1.0	No
112104	5	1	54	1	1	1.0	Yes
112105	1	1	24	1	-1	-1.0	Yes
112105	1	1	27	1	-1	-1.0	Yes
112105	1	1	25	1	-1	-1.0	Yes
112105	1	1	1	1	1	-1.0	No
112105	1	1	60	1	-1	1.0	No
112105	1	1	31	1	1	1.0	Yes
112105	1	1	34	1	-1	1.0	No
112105	1	1	20	1	1	-1.0	No
112105	1	1	19	1	-1	-1.0	Yes
112105	1	1	29	1	-1	-1.0	Yes
112105	1	1	15	1	1	-1.0	No
112105	1	1	54	1	1	1.0	Yes
112105	1	1	53	1	-1	1.0	No
112105	1	1	36	1	-1	1.0	No
112105	1	1	3	1	1	-1.0	No
112105	1	1	2	1	1	-1.0	No
112105	1	1	7	1	1	-1.0	No
112105	1	1	21	1	-1	-1.0	Yes
112105	1	1	40	1	-1	1.0	No
112105	1	1	38	1	1	1.0	Yes
112105	1	1	51	1	-1	1.0	No
112105	1	1	45	1	-1	1.0	No
112105	1	1	55	1	1	1.0	Yes
112105	1	1	39	1	1	1.0	Yes
112105	1	1	10	1	-1	-1.0	Yes
112105	1	1	5	1	-1	-1.0	Yes
112105	1	1	30	1	1	-1.0	No
112105	1	1	17	1	-1	-1.0	Yes
112105	1	1	59	1	1	1.0	Yes
112105	1	1	35	1	-1	1.0	No
112105	1	1	9	1	1	-1.0	No
112105	1	1	43	1	-1	1.0	No
112105	1	1	41	1	-1	1.0	No
112105	1	1	14	1	-1	-1.0	Yes
112105	1	1	6	1	-1	-1.0	Yes
112105	1	1	8	1	-1	-1.0	Yes
112105	1	1	57	1	1	1.0	Yes
112105	1	1	16	1	-1	-1.0	Yes
112105	1	1	11	1	1	-1.0	No
112105	1	1	46	1	-1	1.0	No
112105	1	1	33	1	-1	1.0	No
112105	1	1	52	1	1	1.0	Yes
112105	1	1	50	1	-1	1.0	No
112105	1	1	18	1	-1	-1.0	Yes
112105	1	1	28	1	1	-1.0	No
112105	1	1	44	1	-1	1.0	No
112105	1	1	32	1	-1	1.0	No
112105	1	1	48	1	-1	1.0	No
112105	1	1	12	1	1	-1.0	No
112105	1	1	42	1	-1	1.0	No
112105	1	1	58	1	1	1.0	Yes
112105	1	1	22	1	-1	-1.0	Yes
112105	1	1	23	1	-1	-1.0	Yes
112105	1	1	49	1	1	1.0	Yes
112105	1	1	26	1	-1	-1.0	Yes
112105	1	1	47	1	-1	1.0	No
112105	1	1	13	1	1	-1.0	No
112105	1	1	4	1	1	-1.0	No
112105	1	1	37	1	-1	1.0	No
112105	1	1	56	1	-1	1.0	No
112105	5	1	33	1	1	-1.0	No
112105	5	1	37	1	1	-1.0	No
112105	5	1	41	1	1	-1.0	No
112105	5	1	11	1	-1	-1.0	Yes
112105	5	1	50	1	1	1.0	Yes
112105	5	1	10	1	-1	-1.0	Yes
112105	5	1	59	1	1	1.0	Yes
112105	5	1	19	1	-1	-1.0	Yes
112105	5	1	32	1	-1	-1.0	Yes
112105	5	1	17	1	-1	-1.0	Yes
112105	5	1	28	1	1	-1.0	No
112105	5	1	31	1	1	-1.0	No
112105	5	1	5	1	-1	-1.0	Yes
112105	5	1	35	1	1	-1.0	No
112105	5	1	44	1	1	-1.0	No
112105	5	1	22	1	-1	-1.0	Yes
112105	5	1	4	1	-1	-1.0	Yes
112105	5	1	54	1	1	1.0	Yes
112105	5	1	27	1	-1	-1.0	Yes
112105	5	1	34	1	1	-1.0	No
112105	5	1	51	1	1	1.0	Yes
112105	5	1	46	1	1	-1.0	No
112105	5	1	57	1	1	1.0	Yes
112105	5	1	24	1	-1	-1.0	Yes
112105	5	1	6	1	-1	-1.0	Yes
112105	5	1	45	1	1	-1.0	No
112105	5	1	53	1	1	1.0	Yes
112105	5	1	56	1	1	1.0	Yes
112105	5	1	2	1	-1	-1.0	Yes
112105	5	1	7	1	-1	-1.0	Yes
112105	5	1	55	1	1	1.0	Yes
112105	5	1	49	1	1	1.0	Yes
112105	5	1	14	1	-1	-1.0	Yes
112105	5	1	1	1	-1	-1.0	Yes
112105	5	1	36	1	1	-1.0	No
112105	5	1	15	1	-1	-1.0	Yes
112105	5	1	23	1	1	-1.0	No
112105	5	1	20	1	-1	-1.0	Yes
112105	5	1	18	1	1	-1.0	No
112105	5	1	30	1	-1	-1.0	Yes
112105	5	1	3	1	-1	-1.0	Yes
112105	5	1	42	1	1	-1.0	No
112105	5	1	13	1	-1	-1.0	Yes
112105	5	1	47	1	1	-1.0	No
112105	5	1	40	1	1	-1.0	No
112105	5	1	26	1	-1	-1.0	Yes
112105	5	1	39	1	1	-1.0	No
112105	5	1	16	1	-1	-1.0	Yes
112105	5	1	48	1	1	-1.0	No
112105	5	1	9	1	-1	-1.0	Yes
112105	5	1	52	1	1	1.0	Yes
112105	5	1	60	1	-1	1.0	No
112105	5	1	58	1	1	1.0	Yes
112105	5	1	43	1	1	-1.0	No
112105	5	1	38	1	-1	-1.0	Yes
112105	5	1	8	1	-1	-1.0	Yes
112105	5	1	25	1	1	-1.0	No
112105	5	1	21	1	-1	-1.0	Yes
112105	5	1	12	1	-1	-1.0	Yes
112105	5	1	29	1	1	-1.0	No
112106	1	1	37	1	-1	1.0	No
112106	1	1	1	1	-1	-1.0	Yes
112106	1	1	20	1	-1	-1.0	Yes
112106	1	1	24	1	1	-1.0	No
112106	1	1	27	1	1	-1.0	No
112106	1	1	29	1	1	-1.0	No
112106	1	1	23	1	-1	-1.0	Yes
112106	1	1	6	1	-1	-1.0	Yes
112106	1	1	17	1	-1	-1.0	Yes
112106	1	1	48	1	1	1.0	Yes
112106	1	1	22	1	-1	-1.0	Yes
112106	1	1	49	1	1	1.0	Yes
112106	1	1	10	1	-1	-1.0	Yes
112106	1	1	4	1	-1	-1.0	Yes
112106	1	1	40	1	1	1.0	Yes
112106	1	1	26	1	-1	-1.0	Yes
112106	1	1	52	1	1	1.0	Yes
112106	1	1	45	1	1	1.0	Yes
112106	1	1	25	1	1	-1.0	No
112106	1	1	50	1	1	1.0	Yes
112106	1	1	30	1	1	-1.0	No
112106	1	1	55	1	1	1.0	Yes
112106	1	1	28	1	1	-1.0	No
112106	1	1	54	1	1	1.0	Yes
112106	1	1	33	1	1	1.0	Yes
112106	1	1	16	1	-1	-1.0	Yes
112106	1	1	47	1	1	1.0	Yes
112106	1	1	34	1	1	1.0	Yes
112106	1	1	21	1	-1	-1.0	Yes
112106	1	1	7	1	-1	-1.0	Yes
112106	1	1	51	1	1	1.0	Yes
112106	1	1	3	1	-1	-1.0	Yes
112106	1	1	59	1	1	1.0	Yes
112106	1	1	15	1	-1	-1.0	Yes
112106	1	1	8	1	-1	-1.0	Yes
112106	1	1	32	1	-1	1.0	No
112106	1	1	42	1	1	1.0	Yes
112106	1	1	44	1	1	1.0	Yes
112106	1	1	14	1	-1	-1.0	Yes
112106	1	1	31	1	1	1.0	Yes
112106	1	1	53	1	1	1.0	Yes
112106	1	1	12	1	-1	-1.0	Yes
112106	1	1	56	1	1	1.0	Yes
112106	1	1	2	1	-1	-1.0	Yes
